ID,질문,대답
1830,마이크로컴퓨터구조에 대해 알려줘,"전공선택
마이크로프로세서의 중앙처리 장치, 레지스터, 산술연산장치 및 내부 주변회로 등의 하드웨어 구조를 이해하고, 기억장치 및 외부 주변 장치와의 인터페이스 방법 등에 대해 학습하여 마이크로컴퓨터시스템의 구축방법을 습득한다. 또한 마이크로컴퓨터 프로그래밍을 위한 C언어를 이해하고 C언어를 이용하여 마이크로컴퓨터 시스템을 동작시키는 방법을 실습과 더불어 습득한다."
281,17학번 전필,"1학년:메카트로닉스 입문, 창의적공학설계, 전기회로1
2학년: 전기회로2, 공업역학, 스마트융합기초, 디지털회로, 전자회로
3학년: 제어공학, 비주얼프로그래밍, 종합설계기획
4학년: 종합설계1, 종합설계2"
877,16학번 졸업기준 좀 알려주오,"학점기준
졸업학점: 150, 교양: 27, 계열기초: 30, 전공: 75, 현장실무:4
어학자격
토익 550점"
1945,계측공학은 뭘 배워?,"전공선택
기계계측의 기초를 강의하는 것으로서 각종 센서 출력의 특성을 파악하고 측정하고자 하는 물리량의 올바른 계측방법과 계측 후의 데이터 처리 방법을 습득하고 LabVIEW를 사용하여 계측시스템을 구현하는 방법을 갖추도록 한다."
2042,서보전동기2에 대해 알려줘요,"전공선택
고급 정밀 제어시스템의 구동기로서의 서보전동기의 동작특성 및 구동특성, 구동방법을 다룬다. 교류서보전동기, 직류서보전동기, 그 외 정밀 소형전동기의 종류와 원리, 전력변환 회로를 배우며 제어기의 설계 등을 통하여 서보제어시스템 설계 능력을 배양한다."
1704,신호및시스템에 대해 알려줘,"전공선택
실생활이나 공학 분야의 신호와 시스템의 특성에 대해서 학습한다. 연속(Continuous-time) 및 이산(Discrete-time) 신호와 다양한 수학적 도구(푸리에 표현, 라플라스 변환, Z변환)를 이용하여 신호 및 시스템을 해석하고 분석하는 방법을 학습한다."
1335,무슨 메카 랩실이 있을까?,"지능메카트로닉스 EH
마이크로/나노 자동화 시스템 EH
차세대 정밀모터 시스템 EH
지능로봇 부품 EH
태양광 발전 및 센서 융합 EH"
1230,메카트로닉스 공학과 학생부회장 누굴까나?,안태준
1892,C프로그래밍2는 뭐 가르치지?,"기초선택(전공)
공학의 실용적인 문제와 관련하여 시스템의 모델링, 동적거동을 해석하는데 필요한 수학을 학습한다."
1467,전기회로1은 뭘 배울까?,"전공필수
전기전자분야의 교과를 수강하기 위한 선수적 교과내용으로써 기본적인 전기지식을 배운다. 직류회로를 중심으로 기본적인 소자, 회로해석 및 전기에너지의 전달관계를 이해하고, 실험을 통하여 이론을 검증한다."
1313,메카 랩실은 뭐가 있을까?,"지능메카트로닉스 EH
마이크로/나노 자동화 시스템 EH
차세대 정밀모터 시스템 EH
지능로봇 부품 EH
태양광 발전 및 센서 융합 EH"
113,남윤석 교수님 이메일 알려줘,nys911@kpu.ac.kr
1663,전자회로에 대해 알려주라,"전공필수
전자소자의 특성 및 응용회로들에 대해 학습한다. 반도체 원리 및 이를 이용한 기본 전자소자인 다이오드 및 트랜지스터의 구조와 동작원리에 대해 학습하고, 이러한 기본 전자소자들로 구성된 대표적인 집적회로인 연산증폭기에 대해 학습하여 전자회로의 분석 및 설계 능력을 배양한다."
495,심재홍 교수님 연구실 알려주오,공학관 B동319호
2069,제어용통신은 뭘 배우나요?,"전공선택
제어 시스템간의 정보/데이터 통신을 위한 통신기법 및 네트워크 기법을 배우고, 이를 이용한 제어 시스템간의 통신능력을 배양"
2050,서보전동기2는 뭘 배워?,"전공선택
고급 정밀 제어시스템의 구동기로서의 서보전동기의 동작특성 및 구동특성, 구동방법을 다룬다. 교류서보전동기, 직류서보전동기, 그 외 정밀 소형전동기의 종류와 원리, 전력변환 회로를 배우며 제어기의 설계 등을 통하여 서보제어시스템 설계 능력을 배양한다."
930,필수교양 뭐노,"문학과 예술               역사와 철학               기업과 미디어                     인간과 사회
현대예술의 이해         문화유산과 역사         기업경영의 이해                  현대사회의 이해
한국문학의 이해         한국근현대사             소비자와 마케팅                  고용과 법
서구문학의 이해         윤리와 철학               글로벌시장과 경제의 이해     인간심리 탐구
현대영미문화와 언어   서양사의 이해            미디어커뮤니케이션             현대사회와 법"
1524,공업수학2에 대해 알려주시면 감사하겠습니다,"기초선택(전공)
공학의 실용적인 문제와 관련하여 시스템의 모델링, 동적거동을 해석하는데 필요한 수학을 학습한다."
1084,메카 관련 부전공이 뭐가있니?,"스마트팩토리, 인공지능융합,지능형로봇융합"
1829,마이크로컴퓨터응용은 뭐 가르치지?,"전공선택
메모리, 입출력 장치 및 주변장치를 포함하는 교육용 원칩 마이크로컴퓨터 시스템을 활용한 실습을 통해 원칩 마이크로컴퓨터의 기능과 동작방법에 대해 학습하여 마이크로컴퓨터 보드의 설계 및 제작 능력을 배양한다."
1549,PLC제어는 뭘 배워?,"전공선택
자동화에 많이 활용되고 있는 PLC-공압 시스템 구축을 위해 공압제어기술의 개념, 공압발생장치, 작동요소, 제어요소(공압 밸브) 등의 공압시스템의 구성요소들의 종류, 작동원리, 시스템에서의 역할을 배우며, 전기 시퀀스 구성요소, 원리및 용도들을 익혀 전기-공압회로 설계법 등을 이론 및 실습을 통해 익힌다. 또한 자동화 시스템에서 제어기로 가장 많이 활용되고 있는 PLC의 구성과 원리, 선정법, PLC프로그래밍들을 이론과 실습으로 익힌다."
2119,스마트팩토리HMI는 뭐 가르치나요?,"전공선택
인간과 인간 또는 인간과 로봇의 소통을 위해서는 시각 인식 기술이 필요하다. 본 과목에서는 로봇의 시각 요소인 광학의 기본 개념에 대해 이해하고, 카메라를 통하여 입력 영상에 대한 기본적인 처리 기술에 대해 익힌다. 또한 실제 산업현장에서 로봇이 외부 환경을 인식하고 상황을 판단하기 위한 센서에 대해 살펴보고자 한다."
1509,공업역학은 뭘 배울까?,"전공필수
시스템 메커니즘 설계 및 응용에서 요구되는 힘, 모멘트의 원리를 이해하고, 안정된 시스템을 설계하기 위해 역학 기반의 자유물체도 및 평형방정식의 개념을 학습함으로 다양한 메카트로닉스 시스템에 적용할 수 있도록 기본적인 역학개념의 습득에 있다."
1356,어떤 메카 EH이 있을까요?,"지능메카트로닉스 EH
마이크로/나노 자동화 시스템 EH
차세대 정밀모터 시스템 EH
지능로봇 부품 EH
태양광 발전 및 센서 융합 EH"
1124,메카트로닉스 공학과 융합전공 추천해줘,"스마트팩토리, 인공지능융합,지능형로봇융합"
618,이양희 교수님 연구실 위치 좀 알려주오,공학관 B동 309호
1388,메카트로닉스입문은 뭐 가르쳐요?,"전공필수
메카트로닉스공학 입문자에게 공학에 대한 이해와 전공이수에 필요한 기초이론을 가르쳐 전공에 대한 이해도를 높인다."
1523,공업수학2에 대해 알려주세요,"기초선택(전공)
공학의 실용적인 문제와 관련하여 시스템의 모델링, 동적거동을 해석하는데 필요한 수학을 학습한다."
2062,제어용통신에 대해 알려주라,"전공선택
제어 시스템간의 정보/데이터 통신을 위한 통신기법 및 네트워크 기법을 배우고, 이를 이용한 제어 시스템간의 통신능력을 배양"
1561,스마트융합기초에 대해 알려주면 감사하겠습니다,"전공필수
스마트 융합제품을 구성하는 컴포넌트인 MCU(아두이노, M-Bed 등), 센서, 모터 등에 대해 기본적인 이론을 학습하고, Open Source를 이용하여 하나의 제품(7D 프린터, 휴머노이드 로봇)으로 제작하는 과정을 경험하여 메카트로닉스 기반 제품 설계 및 제작의 기초 지식 및 능력을 갖추도록 한다."
1071,메카트로닉스 공학과 공학기초 교과 뭐있을까?,"글쓰기, 영어1.2, 글로벌잉글리쉬, 가치와비전, 창의와실천"
181,주형길 교수님 연구실 알려줘,공학관 B동 312호
1925,종합설계기획은 뭘 배우지?,"전공필수
창의적 공학설계, 교양학적 사고, 기초전공지식, 전공 심화 등의 내용을 기반으로 메카트로닉스 전공 교과목의 개념을 종합적으로 이해하여 전공 관련 제품을 설계하기 위한 기획을 행한다."
1329,무슨 메카 랩실이 있을까요?,"지능메카트로닉스 EH
마이크로/나노 자동화 시스템 EH
차세대 정밀모터 시스템 EH
지능로봇 부품 EH
태양광 발전 및 센서 융합 EH"
6,정명진 교수님 연구실 위치 좀 알려줘,공학관 B동406호
434,성적우수장학생 필수학점 알려줘,"           취득학점        학과과목
1학년 : 16학점 이상    16학점 이상
2학년 : 16학점 이상    12학점 이상
3학년 : 16학점 이상    12학점 이상
4학년 : 9학점 이상       22학점 이상"
1695,신호및시스템은 뭘 배울까?,"전공선택
실생활이나 공학 분야의 신호와 시스템의 특성에 대해서 학습한다. 연속(Continuous-time) 및 이산(Discrete-time) 신호와 다양한 수학적 도구(푸리에 표현, 라플라스 변환, Z변환)를 이용하여 신호 및 시스템을 해석하고 분석하는 방법을 학습한다."
457,핵심교양 알려주라,"문학과 예술               역사와 철학               기업과 미디어                     인간과 사회
현대예술의 이해         문화유산과 역사         기업경영의 이해                  현대사회의 이해
한국문학의 이해         한국근현대사             소비자와 마케팅                  고용과 법
서구문학의 이해         윤리와 철학               글로벌시장과 경제의 이해     인간심리 탐구
현대영미문화와 언어   서양사의 이해            미디어커뮤니케이션             현대사회와 법"
214,허헌 교수님 연구실 위치 좀,공학관 B동 408호
48,강대진 교수님 연구실 어디야,공학관 B동 306호
339,20학번 전공필수과목 알려줘,"1학년: 메카트로닉스 입문, 창의적공학설계, 전기회로1
2학년: 전기회로2,  공업역학, 전자회로실험, 스마트융합기초, 디지털회로, 디지털회로실험, 전자회로
3학년: 제어공학, 비주얼프로그래밍, 종합설계기획, 시스템제어공학
4학년: 종합설계1, 종합설계16"
1244,메카 학생 회장 누구냐?,임현종
1126,메카트로닉스공학과 관련 융합전공 좀,"스마트팩토리, 인공지능융합,지능형로봇융합"
9,정명진 교수님 이메일 뭐야,mjchung@kpu.ac.kr
1295,무슨 메카 연구실이 있어요?,"지능메카트로닉스 EH
마이크로/나노 자동화 시스템 EH
차세대 정밀모터 시스템 EH
지능로봇 부품 EH
태양광 발전 및 센서 융합 EH"
660,주형길 교수님 연구실 위치가 어디노,공학관 B동 312호
1692,신호및시스템은 뭘 배울까요?,"전공선택
실생활이나 공학 분야의 신호와 시스템의 특성에 대해서 학습한다. 연속(Continuous-time) 및 이산(Discrete-time) 신호와 다양한 수학적 도구(푸리에 표현, 라플라스 변환, Z변환)를 이용하여 신호 및 시스템을 해석하고 분석하는 방법을 학습한다."
1287,어떤 메카 연구실이 있어요?,"지능메카트로닉스 EH
마이크로/나노 자동화 시스템 EH
차세대 정밀모터 시스템 EH
지능로봇 부품 EH
태양광 발전 및 센서 융합 EH"
1139,메카트로닉스 공학과 융합전공 종류는?,"스마트팩토리, 인공지능융합,지능형로봇융합"
127,이승훈 교수님 이메일 좀,shlee50@kpu.ac.kr
821,20학번 전필 과목 알려주오,"1학년: 메카트로닉스 입문, 창의적공학설계, 전기회로1
2학년: 전기회로2,  공업역학, 전자회로실험, 스마트융합기초, 디지털회로, 디지털회로실험, 전자회로
3학년: 제어공학, 비주얼프로그래밍, 종합설계기획, 시스템제어공학
4학년: 종합설계1, 종합설계20"
1813,마이크로컴퓨터응용에 대해 알려주면 감사하겠습니다,"전공선택
메모리, 입출력 장치 및 주변장치를 포함하는 교육용 원칩 마이크로컴퓨터 시스템을 활용한 실습을 통해 원칩 마이크로컴퓨터의 기능과 동작방법에 대해 학습하여 마이크로컴퓨터 보드의 설계 및 제작 능력을 배양한다."
628,이양희 교수님 연락처 내놔,031)8041-0455
1881,C프로그래밍2는 뭘 배울까요?,"기초선택(전공)
공학의 실용적인 문제와 관련하여 시스템의 모델링, 동적거동을 해석하는데 필요한 수학을 학습한다."
1579,재료역학에 대해 알려주라,"전공선택
각 부재의 안정성을 판단하기 위해 구조물의 역학적 해석능력을 키우고 이를 반영한 구조물 설계개선능력을 갖추도록 하는데 있다."
535,강대진 교수님 번호 내놔,031)8041-0453
1115,메카 관련 융합전공이 뭐가있니?,"스마트팩토리, 인공지능융합,지능형로봇융합"
856,17학번 졸업기준이 뭘까요?,"학점기준
졸업학점: 140, 교양: 25, 계열기초: 30, 전공: 70, 현장실무:4
어학자격
토익 550점"
1089,메카트로닉스 공학과 추천 부전공,"스마트팩토리, 인공지능융합,지능형로봇융합"
190,주형길 교수님 번호 알려줘,031)8041-0459
1477,전기회로2에 대해 알려주라,"전공필수
가정 및 산업용의 실용적인 교류회로를 이해한다. 교류회로에서 사용되는 부하소자인 저항, 인덕턴스 및 커패시턴스의 특성을 이해하고 이를 이용한 회로구성 및 해석을 중점적으로 배운다. 또한 실험을 통하여 전반적인 전기회로 특성을 이해한다."
1261,메카트로닉스 공학 학생 회장 누굽니까?,임현종
1199,메카트로닉스 학생 부회장 누구노?,안태준
1104,메카 부전공 좀,"스마트팩토리, 인공지능융합,지능형로봇융합"
1930,종합설계기획은 뭐 가르치나요?,"전공필수
창의적 공학설계, 교양학적 사고, 기초전공지식, 전공 심화 등의 내용을 기반으로 메카트로닉스 전공 교과목의 개념을 종합적으로 이해하여 전공 관련 제품을 설계하기 위한 기획을 행한다."
443,핵심교양 과목 알려줄래?,"문학과 예술               역사와 철학               기업과 미디어                     인간과 사회
현대예술의 이해         문화유산과 역사         기업경영의 이해                  현대사회의 이해
한국문학의 이해         한국근현대사             소비자와 마케팅                  고용과 법
서구문학의 이해         윤리와 철학               글로벌시장과 경제의 이해     인간심리 탐구
현대영미문화와 언어   서양사의 이해            미디어커뮤니케이션             현대사회와 법"
1300,무슨 메카 연구실이 있을까?,"지능메카트로닉스 EH
마이크로/나노 자동화 시스템 EH
차세대 정밀모터 시스템 EH
지능로봇 부품 EH
태양광 발전 및 센서 융합 EH"
766, 18학번 전공필수 알려주오,"1학년: 메카트로닉스 입문, 창의적공학설계, 전기회로1
2학년: 전기회로2,  공업역학, 전자회로실험, 스마트융합기초, 디지털회로, 디지털회로실험, 전자회로
3학년: 제어공학, 비주얼프로그래밍, 종합설계기획, 시스템제어공학
4학년: 종합설계1, 종합설계2"
752,17학번 전공필수과목 알려주오,"1학년:메카트로닉스 입문, 창의적공학설계, 전기회로1
2학년: 전기회로2, 공업역학, 스마트융합기초, 디지털회로, 전자회로
3학년: 제어공학, 비주얼프로그래밍, 종합설계기획
4학년: 종합설계1, 종합설계2"
150,이양희 교수님 연락처,031)8041-0455
202,차동혁 교수님 이메일 좀,dhcha@kpu.ac.kr
1461,전기회로1에 대해 알려주시면 감사하겠습니다,"전공필수
전기전자분야의 교과를 수강하기 위한 선수적 교과내용으로써 기본적인 전기지식을 배운다. 직류회로를 중심으로 기본적인 소자, 회로해석 및 전기에너지의 전달관계를 이해하고, 실험을 통하여 이론을 검증한다."
2091,스마트팩토리디바이스제어는 뭘 배울까요?,"전공선택
디바이스(센서, 액추에이터, 신호 입출력 장치), 통신 및 제어시스템의 기본원리 이해 ? 디바이스 활용한 현장 맞춤형 프로젝트 실습 ? 역량강화 성취도를 높이기 위하여 온라인-오프라인 강의와 전문가 특강, 그리고 실습(Team project)을 병행 ? 스마트팩토리 구현 시 발생 가능한 문제점에 대한 개선안 도출"
797,19학번 전필 좀 알려줄래요?,"1학년: 메카트로닉스 입문, 창의적공학설계, 전기회로1
2학년: 전기회로2,  공업역학, 전자회로실험, 스마트융합기초, 디지털회로, 디지털회로실험, 전자회로
3학년: 제어공학, 비주얼프로그래밍, 종합설계기획, 시스템제어공학
4학년: 종합설계1, 종합설계2"
627,이양희 교수님 연락처 좀요,031)8041-0455
1978,동역학에 대해 알려주라,"전공선택
설계 대상인 기계나 기구에 어떤 힘이 가해질 때, 변위나 속도가 어떻게 변화하는지 기계나 기구의 거동을 해석하여 예측할 수 있도록 함으로써 올바른 기구설계를 할 수 있다."
376,17학번 졸업기준이 뭐지?,"학점기준
졸업학점: 140, 교양: 25, 계열기초: 30, 전공: 70, 현장실무:4
어학자격
토익 550점"
426,성적우수장학생 취득학점 뭐야?,"           취득학점        학과과목
1학년 : 16학점 이상    16학점 이상
2학년 : 16학점 이상    12학점 이상
3학년 : 16학점 이상    12학점 이상
4학년 : 9학점 이상       14학점 이상"
367,17학번 졸업기준 좀 알려주세요,"학점기준
졸업학점: 140, 교양: 25, 계열기초: 30, 전공: 70, 현장실무:4
어학자격
토익 550점"
2047,서보전동기2에 대해 알려주소,"전공선택
고급 정밀 제어시스템의 구동기로서의 서보전동기의 동작특성 및 구동특성, 구동방법을 다룬다. 교류서보전동기, 직류서보전동기, 그 외 정밀 소형전동기의 종류와 원리, 전력변환 회로를 배우며 제어기의 설계 등을 통하여 서보제어시스템 설계 능력을 배양한다."
5,정명진 교수님 연구실 위치 좀,공학관 B동406호
430,성적우수장학생 취득학점 알려줘,"           취득학점        학과과목
1학년 : 16학점 이상    16학점 이상
2학년 : 16학점 이상    12학점 이상
3학년 : 16학점 이상    12학점 이상
4학년 : 9학점 이상       18학점 이상"
599,이승훈 교수님 연구실 알려주오,공학관 B동 409호
142,이양희 교수님 이메일 좀,yhyee@kpu.ac.kr
133,이승훈 교수님 연락처 알려줘,031)8041-0367
321,19학번 전공필수 과목을 알려주십시오,"1학년: 메카트로닉스 입문, 창의적공학설계, 전기회로1
2학년: 전기회로2,  공업역학, 전자회로실험, 스마트융합기초, 디지털회로, 디지털회로실험, 전자회로
3학년: 제어공학, 비주얼프로그래밍, 종합설계기획, 시스템제어공학
4학년: 종합설계1, 종합설계2"
116,남윤석 교수님 번호 좀,031)8041-0456
1219,메카트로닉스 학생부회장은요?,안태준
2052,서보전동기2는 뭘 배울까?,"전공선택
고급 정밀 제어시스템의 구동기로서의 서보전동기의 동작특성 및 구동특성, 구동방법을 다룬다. 교류서보전동기, 직류서보전동기, 그 외 정밀 소형전동기의 종류와 원리, 전력변환 회로를 배우며 제어기의 설계 등을 통하여 서보제어시스템 설계 능력을 배양한다."
794,19학번 전공필수 내놔,"1학년: 메카트로닉스 입문, 창의적공학설계, 전기회로1
2학년: 전기회로2,  공업역학, 전자회로실험, 스마트융합기초, 디지털회로, 디지털회로실험, 전자회로
3학년: 제어공학, 비주얼프로그래밍, 종합설계기획, 시스템제어공학
4학년: 종합설계1, 종합설계2"
1455,전기회로1에 대해 알려줘,"전공필수
전기전자분야의 교과를 수강하기 위한 선수적 교과내용으로써 기본적인 전기지식을 배운다. 직류회로를 중심으로 기본적인 소자, 회로해석 및 전기에너지의 전달관계를 이해하고, 실험을 통하여 이론을 검증한다."
1878,C프로그래밍2에 대해 알려주시면 감사하겠습니다,"기초선택(전공)
공학의 실용적인 문제와 관련하여 시스템의 모델링, 동적거동을 해석하는데 필요한 수학을 학습한다."
777, 18학번 전공필수과목 내놔,"1학년: 메카트로닉스 입문, 창의적공학설계, 전기회로1
2학년: 전기회로2,  공업역학, 전자회로실험, 스마트융합기초, 디지털회로, 디지털회로실험, 전자회로
3학년: 제어공학, 비주얼프로그래밍, 종합설계기획, 시스템제어공학
4학년: 종합설계1, 종합설계2"
29,심재홍 교수님 연락처 좀,031)8041-0458
587,남윤석 교수님 연구실 위치 좀요,공학관 B동 317호
1683,신호및시스템에 대해 알려줘,"전공선택
실생활이나 공학 분야의 신호와 시스템의 특성에 대해서 학습한다. 연속(Continuous-time) 및 이산(Discrete-time) 신호와 다양한 수학적 도구(푸리에 표현, 라플라스 변환, Z변환)를 이용하여 신호 및 시스템을 해석하고 분석하는 방법을 학습한다."
1600,전자회로실험에 대해 알려주라,"전공필수
전자회로에서 학습한 전자소자와 회로에 대한 실습을 통해 동작 원리와 특성을 이해한다. 회로 분석과 설계 능력을 배양하기 위해 계측기와 분석 S/W 사용법을 학습한다."
1448,컴퓨터응용설계2는 뭐 배우는지 알려줘,"전공선택
SolidWorks 고급기능의 학습, 3D 프린팅 방법 학습을 통해 가공하지 않고 17차원 기계 시스템의 Simulation을 통해 동작성능의 체크 및 검증하는 능력을 갖게 한다."
822,20학번 전필 과목 알려주시오,"1학년: 메카트로닉스 입문, 창의적공학설계, 전기회로1
2학년: 전기회로2,  공업역학, 전자회로실험, 스마트융합기초, 디지털회로, 디지털회로실험, 전자회로
3학년: 제어공학, 비주얼프로그래밍, 종합설계기획, 시스템제어공학
4학년: 종합설계1, 종합설계21"
1113,메카트로닉스 공학과 부전공 추천해주세요,"스마트팩토리, 인공지능융합,지능형로봇융합"
1798,센서는 뭘 배워?,"전공선택
제어 대상의 상태를 파악하기 위해 각종 센서의 원리와 활용법을 학습하고 측정대상에 적합한 센서를 선정 및 응용하는 능력을 갖도록 하는데 있다."
582,남대훈 교수님 연락처 좀요,031)8041-0457
1085,메카트로닉스공학과 관련 부전공,"스마트팩토리, 인공지능융합,지능형로봇융합"
546,김기현 교수님 이메일 알려주오,khkim12@kpu.ac.kr
579,남대훈 교수님 번호 좀요,031)8041-0457
465,핵심교양 좀 알려주라,"문학과 예술               역사와 철학               기업과 미디어                     인간과 사회
현대예술의 이해         문화유산과 역사         기업경영의 이해                  현대사회의 이해
한국문학의 이해         한국근현대사             소비자와 마케팅                  고용과 법
서구문학의 이해         윤리와 철학               글로벌시장과 경제의 이해     인간심리 탐구
현대영미문화와 언어   서양사의 이해            미디어커뮤니케이션             현대사회와 법"
145,이양희 교수님 번호 알려줘,031)8041-0455
1479,전기회로2에 대해 알려주시오,"전공필수
가정 및 산업용의 실용적인 교류회로를 이해한다. 교류회로에서 사용되는 부하소자인 저항, 인덕턴스 및 커패시턴스의 특성을 이해하고 이를 이용한 회로구성 및 해석을 중점적으로 배운다. 또한 실험을 통하여 전반적인 전기회로 특성을 이해한다."
563,김효영 교수님 번호 알려주오,031)8041-0464
615,이양희 교수님 연구실 위치가 어디노,공학관 B동 309호
1528,공업수학2는 뭘 배워?,"기초선택(전공)
공학의 실용적인 문제와 관련하여 시스템의 모델링, 동적거동을 해석하는데 필요한 수학을 학습한다."
8,정명진 교수님 이메일좀,mjchung@kpu.ac.kr
1530,공업수학2는 뭘 배울까?,"기초선택(전공)
공학의 실용적인 문제와 관련하여 시스템의 모델링, 동적거동을 해석하는데 필요한 수학을 학습한다."
918,핵심교양 과목 좀요,"문학과 예술               역사와 철학               기업과 미디어                     인간과 사회
현대예술의 이해         문화유산과 역사         기업경영의 이해                  현대사회의 이해
한국문학의 이해         한국근현대사             소비자와 마케팅                  고용과 법
서구문학의 이해         윤리와 철학               글로벌시장과 경제의 이해     인간심리 탐구
현대영미문화와 언어   서양사의 이해            미디어커뮤니케이션             현대사회와 법"
286,17학번 전공필수과목,"1학년:메카트로닉스 입문, 창의적공학설계, 전기회로1
2학년: 전기회로2, 공업역학, 스마트융합기초, 디지털회로, 전자회로
3학년: 제어공학, 비주얼프로그래밍, 종합설계기획
4학년: 종합설계1, 종합설계2"
290, 18학번 전공필수,"1학년: 메카트로닉스 입문, 창의적공학설계, 전기회로1
2학년: 전기회로2,  공업역학, 전자회로실험, 스마트융합기초, 디지털회로, 디지털회로실험, 전자회로
3학년: 제어공학, 비주얼프로그래밍, 종합설계기획, 시스템제어공학
4학년: 종합설계1, 종합설계2"
1187,메카 학생 부회장 누구?,안태준
1019,메카 과사 어디오,공학관 B동 307호
595,남윤석 교수님 번호 내놔,031)8041-0456
2073,제어용통신은 뭘 배울까?,"전공선택
제어 시스템간의 정보/데이터 통신을 위한 통신기법 및 네트워크 기법을 배우고, 이를 이용한 제어 시스템간의 통신능력을 배양"
231,메카 학과 사무실 위치가 어디야,공학관 B동 307호
1987,동역학은 뭘 배워?,"전공선택
설계 대상인 기계나 기구에 어떤 힘이 가해질 때, 변위나 속도가 어떻게 변화하는지 기계나 기구의 거동을 해석하여 예측할 수 있도록 함으로써 올바른 기구설계를 할 수 있다."
1520,공업수학2에 대해 알려줘요,"기초선택(전공)
공학의 실용적인 문제와 관련하여 시스템의 모델링, 동적거동을 해석하는데 필요한 수학을 학습한다."
1172,메카 학생회장 좀 알려주실래요?,임현종
1267,메카 연구실 뭐있나요?,"지능메카트로닉스 EH
마이크로/나노 자동화 시스템 EH
차세대 정밀모터 시스템 EH
지능로봇 부품 EH
태양광 발전 및 센서 융합 EH"
1161,메카트로닉스 공학 학생회장 누구요?,임현종
2035,서보전동기1은 뭐 가르치나요?,"전공선택
서보 제어시스템의 주요 구동원으로 이용되는 전동기에 대한 이론과 실험을 병행하여 배운다. 이 교과의 이수로 제어시스템 설계를 전동기의 특성, 전달함수 등을 알 수 있고 전동기의 운용상의 일반적 문제점을 자율적으로 해결할 수 있다."
1350,메카 EH 알려줘,"지능메카트로닉스 EH
마이크로/나노 자동화 시스템 EH
차세대 정밀모터 시스템 EH
지능로봇 부품 EH
태양광 발전 및 센서 융합 EH"
2010,PC제어응용은 뭘 배울까?,"전공선택
아날로그 신호 및 디지털신호를 처리하기 위한 DAQ카드의 구조 및 사용법을 이해하여 Windows 기반의 컴퓨터에서 신호입출력 및 RS244, 블루투스 기술과 접목하여 PC를 활용한 제어기술을 구현할 수 있도록 한다."
712,B동 학과 행정실 어디오,공학관 B동 307호
2043,서보전동기2에 대해 알려주시오,"전공선택
고급 정밀 제어시스템의 구동기로서의 서보전동기의 동작특성 및 구동특성, 구동방법을 다룬다. 교류서보전동기, 직류서보전동기, 그 외 정밀 소형전동기의 종류와 원리, 전력변환 회로를 배우며 제어기의 설계 등을 통하여 서보제어시스템 설계 능력을 배양한다."
1958,기계요소설계에 대해 알려줘요,"전공선택
자동화 기구 시스템을 설계할 때 고려해야 하는 각종 요소들의 설계방법과 선정방법 등을 학습하여 효율적인 기구를 설계할 수 있는 능력을 배양한다."
1495,전기회로2는 뭐 가르치세요?,"전공필수
가정 및 산업용의 실용적인 교류회로를 이해한다. 교류회로에서 사용되는 부하소자인 저항, 인덕턴스 및 커패시턴스의 특성을 이해하고 이를 이용한 회로구성 및 해석을 중점적으로 배운다. 또한 실험을 통하여 전반적인 전기회로 특성을 이해한다."
371,17학번 졸업기준 좀 알려줘,"학점기준
졸업학점: 140, 교양: 25, 계열기초: 30, 전공: 70, 현장실무:4
어학자격
토익 550점"
1849,마이크로컴퓨터구조는 뭐 가르치세요?,"전공선택
마이크로프로세서의 중앙처리 장치, 레지스터, 산술연산장치 및 내부 주변회로 등의 하드웨어 구조를 이해하고, 기억장치 및 외부 주변 장치와의 인터페이스 방법 등에 대해 학습하여 마이크로컴퓨터시스템의 구축방법을 습득한다. 또한 마이크로컴퓨터 프로그래밍을 위한 C언어를 이해하고 C언어를 이용하여 마이크로컴퓨터 시스템을 동작시키는 방법을 실습과 더불어 습득한다."
140,이양희 교수님 연구실 위치 좀 알려줘,공학관 B동 309호
97,남대훈 교수님 이메일 좀,dhnam@kpu.ac.kr
1317,메카 랩실 뭐 있는지 알려줘,"지능메카트로닉스 EH
마이크로/나노 자동화 시스템 EH
차세대 정밀모터 시스템 EH
지능로봇 부품 EH
태양광 발전 및 센서 융합 EH"
1906,비주얼프로그래밍은 뭐 배워?,"전공필수
C++ 를 기반으로 다양한 MFC클래스를 활용하여 윈도우 기반의 비주얼 프로그램을 작성한다. 다양한 MFC 클래스, API 및 GDI 개념을 학습하고 이를 활용하여 파일 입출력, 그래픽, 네트워크 통신이 가능한 윈도우 응용 프로그램을 작성한다."
991,메카 학과장님이 누구냐?,정명진 교수님
1306,메카 랩실 어떤게 있어?,"지능메카트로닉스 EH
마이크로/나노 자동화 시스템 EH
차세대 정밀모터 시스템 EH
지능로봇 부품 EH
태양광 발전 및 센서 융합 EH"
1701,신호및시스템은 뭐 가르쳐?,"전공선택
실생활이나 공학 분야의 신호와 시스템의 특성에 대해서 학습한다. 연속(Continuous-time) 및 이산(Discrete-time) 신호와 다양한 수학적 도구(푸리에 표현, 라플라스 변환, Z변환)를 이용하여 신호 및 시스템을 해석하고 분석하는 방법을 학습한다."
159,이원봉 교수님 이메일 뭐야,leebong@kpu.ac.kr
132,이승훈 교수님 번호,031)8041-0367
141,이양희 교수님 연구실 좀 알려줘,공학관 B동 309호
